,embryo,stage,fate,lineage,mean_time,mean_size,n_progenitors
94,E9.5-R2,E9.5,Epibranchial sensory neuron,Surface ectoderm,8.42226523274691,2.9909090909090907,110
95,E9.5-R2,E9.5,Epicardium,Lateral plate mesoderm,8.294774062170918,4.276595744680851,94
96,E9.5-R2,E9.5,Epidermal progenitor,Surface ectoderm,8.264256155316945,10.417610062893083,795
97,E9.5-R2,E9.5,Extraembryonic mesoderm,Extraembryonic mesoderm,7.736623897184301,9.353741496598639,147
98,E9.5-R2,E9.5,Eye field,Neural ectoderm,8.501317083750733,4.7905236907730675,401
99,E9.5-R2,E9.5,First heart field,Lateral plate mesoderm,7.586912253659168,3.6206896551724137,87
100,E9.5-R2,E9.5,Floor plate,Neural ectoderm,8.517140897713873,3.5831099195710454,746
101,E9.5-R2,E9.5,Foregut,Endoderm,8.126067320755258,4.470198675496689,151
102,E9.5-R2,E9.5,Forelimb field,Lateral plate mesoderm,8.544306322321617,7.425149700598802,1169
103,E9.5-R2,E9.5,Frontonasal mesenchyme,Neural crest,8.207970012601523,11.749506903353057,507
104,E9.5-R2,E9.5,Head paraxial mesoderm,Paraxial mesoderm,8.045660584472309,8.532507739938081,646
105,E9.5-R2,E9.5,Hematopoietic progenitor,Blood,8.16114902790913,2.0,3
106,E9.5-R2,E9.5,Hemogenic endothelium,Mesoderm,8.776966903916328,2.0,5
107,E9.5-R2,E9.5,Hepatoblast,Endoderm,7.8531488700766765,7.142857142857143,84
108,E9.5-R2,E9.5,Hindbrain (isthmic organizer),Neural ectoderm,8.694384129216518,2.740740740740741,189
109,E9.5-R2,E9.5,Hindbrain (r1),Neural ectoderm,8.447144029080997,4.508417508417509,594
110,E9.5-R2,E9.5,Hindbrain (r2-r4),Neural ectoderm,8.462472783746565,4.874015748031496,1016
111,E9.5-R2,E9.5,Hindbrain (r5-r8),Neural ectoderm,8.565921356088245,4.315656565656566,1188
112,E9.5-R2,E9.5,Hindgut,Endoderm,7.987599125977134,9.137254901960784,102
113,E9.5-R2,E9.5,Hindlimb field,Lateral plate mesoderm,8.7312789171749,3.5175879396984926,597
114,E9.5-R2,E9.5,Hypaxial myogenic progenitor,Paraxial mesoderm,8.617017516216263,3.061810154525386,453
115,E9.5-R2,E9.5,Hypothalamic neuron,Neural ectoderm,8.77930146940902,2.357142857142857,84
116,E9.5-R2,E9.5,Hypothalamus,Neural ectoderm,8.49497539727925,4.649484536082475,291
117,E9.5-R2,E9.5,Intermediate mesoderm,Intermediate mesoderm,8.552180630295357,3.3248730964467006,788
118,E9.5-R2,E9.5,Juxtacardiac field,Lateral plate mesoderm,8.350734887958776,4.0588235294117645,119
119,E9.5-R2,E9.5,Lens placode,Surface ectoderm,8.573563370774773,4.182926829268292,164
120,E9.5-R2,E9.5,Macrophage,Blood,7.4754647155098635,8.108695652173912,46
121,E9.5-R2,E9.5,Megakaryocyte,Blood,7.951323996697569,2.6923076923076925,26
122,E9.5-R2,E9.5,Mesothelium,Lateral plate mesoderm,8.872477943005629,2.1,10
123,E9.5-R2,E9.5,Midbrain,Neural ectoderm,8.47038114885375,4.61968085106383,752
124,E9.5-R2,E9.5,Midbrain neuron,Neural ectoderm,8.652099222486717,2.59009009009009,222
125,E9.5-R2,E9.5,Midgut,Endoderm,7.881191285758433,4.793103448275862,87
126,E9.5-R2,E9.5,Myotome,Paraxial mesoderm,8.693354513838157,2.306451612903226,124
127,E9.5-R2,E9.5,Nascent somite,Paraxial mesoderm,8.693888775179142,3.665948275862069,464
128,E9.5-R2,E9.5,Notochord,Mesoderm,7.450441410336408,3.9574468085106385,47
129,E9.5-R2,E9.5,Olfactory placode,Surface ectoderm,8.429136570487138,5.571984435797665,257
130,E9.5-R2,E9.5,Olfactory sensory neuron,Surface ectoderm,8.791393054916703,2.08,25
131,E9.5-R2,E9.5,Otic placode,Surface ectoderm,8.313116421219382,4.920245398773006,163
132,E9.5-R2,E9.5,Otic sensory neuron,Surface ectoderm,8.519947002708124,3.074074074074074,81
133,E9.5-R2,E9.5,Periocular mesoderm,Paraxial mesoderm,8.286584366405275,3.1739130434782608,46
134,E9.5-R2,E9.5,Pharyngeal arch mesenchyme,Neural crest,8.265094870446276,10.503122212310437,1121
135,E9.5-R2,E9.5,Pharyngeal endoderm,Endoderm,7.852033789798144,9.26086956521739,161
136,E9.5-R2,E9.5,Pharyngeal mesoderm,Paraxial mesoderm,8.232485850793218,4.6208791208791204,364
137,E9.5-R2,E9.5,Presomitic mesoderm,Paraxial mesoderm,8.662599358176351,4.001801801801802,555
138,E9.5-R2,E9.5,Roof plate,Neural ectoderm,8.649934153018643,2.7324414715719065,299
139,E9.5-R2,E9.5,Sacral neural crest,Neural crest,8.831827191853728,2.8229166666666665,192
140,E9.5-R2,E9.5,Sclerotome,Paraxial mesoderm,8.49572250355741,5.500812567713976,3692
141,E9.5-R2,E9.5,Second heart field,Lateral plate mesoderm,8.310967284161356,3.892156862745098,408
142,E9.5-R2,E9.5,Somatic mesoderm,Lateral plate mesoderm,8.545089812865895,5.754319824065347,3183
143,E9.5-R2,E9.5,Somatic motor neuron,Neural ectoderm,8.732448895050366,2.4555873925501435,349
144,E9.5-R2,E9.5,Spinal cord (cervical),Neural ectoderm,8.613093108447313,4.255572835666149,1929
145,E9.5-R2,E9.5,Spinal cord (lumbar),Neural ectoderm,8.73322047770245,4.17154255319149,752
146,E9.5-R2,E9.5,Spinal cord (sacral),Neural ectoderm,8.770279494889847,3.238390092879257,323
147,E9.5-R2,E9.5,Spinal cord (thoracic),Neural ectoderm,8.704178020121349,5.237402015677492,1786
148,E9.5-R2,E9.5,Spinal cord interneuron,Neural ectoderm,8.677793676170085,2.2746331236897275,477
149,E9.5-R2,E9.5,Splanchnic mesoderm,Lateral plate mesoderm,8.469526478420505,3.8574626865671644,1340
150,E9.5-R2,E9.5,Surface ectoderm,Surface ectoderm,8.558120215621516,4.274725274725275,182
151,E9.5-R2,E9.5,Telencephalon,Neural ectoderm,8.373610282967693,9.03448275862069,841
152,E9.5-R2,E9.5,Trigeminal ganglion neuron,Neural crest,8.55836627887672,3.4149659863945576,147
153,E9.5-R2,E9.5,Trigeminal placode,Surface ectoderm,8.34174908405764,4.218867924528302,265
154,E9.5-R2,E9.5,Trigeminal sensory neuron,Surface ectoderm,8.504842627789067,4.630769230769231,195
155,E9.5-R2,E9.5,Trunk neural crest,Neural crest,8.688672462809294,3.6473880597014925,536
156,E9.5-R2,E9.5,Vagal neural crest,Neural crest,8.677796425079809,2.8972972972972975,370
157,E9.5-R3,E9.5,Allantois,Extraembryonic mesoderm,9.297082199665594,2.0,1
158,E9.5-R3,E9.5,Amniotic ectoderm,Extraembryonic ectoderm,8.262829047758485,4.379746835443038,158
159,E9.5-R3,E9.5,Arterial endothelial cell,Mesoderm,8.413606143996166,2.08,25
160,E9.5-R3,E9.5,Autonomic neuron,Neural crest,8.850507400379408,2.5714285714285716,7
161,E9.5-R3,E9.5,Autonomic progenitor,Neural crest,8.588664099045184,3.511904761904762,252
162,E9.5-R3,E9.5,Axial progenitor,Epiblast,8.861069449644644,2.8865248226950353,282
163,E9.5-R3,E9.5,Cranial motor neuron,Neural ectoderm,8.701832846007477,2.5625,304
164,E9.5-R3,E9.5,Cranial neural crest,Neural crest,8.642652791957278,4.235759493670886,632
165,E9.5-R3,E9.5,Dermomyotome,Paraxial mesoderm,8.679040087018434,3.926079243051449,3382
166,E9.5-R3,E9.5,Diencephalon,Neural ectoderm,8.619165011386347,5.392156862745098,918
167,E9.5-R3,E9.5,Dorsal root ganglion neuron,Neural crest,8.745448769206893,2.702127659574468,94
168,E9.5-R3,E9.5,Dorsal root ganglion progenitor,Neural crest,8.841350806539745,2.2,45
169,E9.5-R3,E9.5,Endocardial cell,Lateral plate mesoderm,8.250473536662605,3.316546762589928,139
170,E9.5-R3,E9.5,Endothelial cell,Mesoderm,8.304547735283569,2.725050916496945,491
171,E9.5-R3,E9.5,Endothelial progenitor,Mesoderm,8.811719194557687,2.1770833333333335,96
172,E9.5-R3,E9.5,Epibranchial placode,Surface ectoderm,8.57826755553016,4.444,250
173,E9.5-R3,E9.5,Epibranchial sensory neuron,Surface ectoderm,8.724733609583296,2.7295081967213113,122
174,E9.5-R3,E9.5,Epicardium,Lateral plate mesoderm,8.541794225882636,3.0625,96
175,E9.5-R3,E9.5,Epidermal progenitor,Surface ectoderm,8.390488955456599,9.710097719869706,921
176,E9.5-R3,E9.5,Extraembryonic mesoderm,Extraembryonic mesoderm,7.6841575867644565,10.142259414225942,239
177,E9.5-R3,E9.5,Eye field,Neural ectoderm,8.64719385176047,4.554744525547445,548
178,E9.5-R3,E9.5,First heart field,Lateral plate mesoderm,7.958795787616719,2.5444444444444443,90
179,E9.5-R3,E9.5,Floor plate,Neural ectoderm,8.64695925123607,4.04681194511703,1239
180,E9.5-R3,E9.5,Foregut,Endoderm,8.242837280787155,3.8834355828220857,163
181,E9.5-R3,E9.5,Forelimb field,Lateral plate mesoderm,8.593366179891706,6.790552584670232,1122
182,E9.5-R3,E9.5,Frontonasal mesenchyme,Neural crest,8.359647082108717,13.647226173541963,703
183,E9.5-R3,E9.5,Head paraxial mesoderm,Paraxial mesoderm,8.226724954865613,13.478038815117467,979
184,E9.5-R3,E9.5,Hematopoietic progenitor,Blood,8.342631039149284,2.25,4
185,E9.5-R3,E9.5,Hemogenic endothelium,Mesoderm,8.409724477890355,2.0,3
186,E9.5-R3,E9.5,Hepatoblast,Endoderm,8.113612786170975,3.7301587301587302,63
187,E9.5-R3,E9.5,Hindbrain (isthmic organizer),Neural ectoderm,8.783688306955165,3.0,379
188,E9.5-R3,E9.5,Hindbrain (r1),Neural ectoderm,8.637714486022636,5.581351094196004,1051
189,E9.5-R3,E9.5,Hindbrain (r2-r4),Neural ectoderm,8.62619337236493,6.515810276679842,1518
190,E9.5-R3,E9.5,Hindbrain (r5-r8),Neural ectoderm,8.720865772117948,4.482142857142857,2072
191,E9.5-R3,E9.5,Hindgut,Endoderm,7.97525031154724,10.425925925925926,108
192,E9.5-R3,E9.5,Hindlimb field,Lateral plate mesoderm,8.795231275200297,3.2004662004662006,429
193,E9.5-R3,E9.5,Hypaxial myogenic progenitor,Paraxial mesoderm,8.74054879376639,2.758269720101781,393
194,E9.5-R3,E9.5,Hypothalamic neuron,Neural ectoderm,8.79356794004697,2.3963963963963963,111
195,E9.5-R3,E9.5,Hypothalamus,Neural ectoderm,8.647680971726995,5.044052863436123,454
196,E9.5-R3,E9.5,Intermediate mesoderm,Intermediate mesoderm,8.65315555605502,3.3378226711560046,891
197,E9.5-R3,E9.5,Juxtacardiac field,Lateral plate mesoderm,8.492294024127702,3.5168539325842696,89
198,E9.5-R3,E9.5,Lens placode,Surface ectoderm,8.6886929100294,4.9010989010989015,182
199,E9.5-R3,E9.5,Macrophage,Blood,7.701551575185491,5.085106382978723,47
200,E9.5-R3,E9.5,Megakaryocyte,Blood,7.733171562072979,4.020833333333333,48
201,E9.5-R3,E9.5,Mesothelium,Lateral plate mesoderm,8.787021484899332,2.15,20
202,E9.5-R3,E9.5,Midbrain,Neural ectoderm,8.65432233572168,6.216440422322775,1326
203,E9.5-R3,E9.5,Midbrain neuron,Neural ectoderm,8.691617542733521,2.639896373056995,386
204,E9.5-R3,E9.5,Midgut,Endoderm,7.948185489523287,4.512820512820513,117
